my.site.num,study.site,study,"jumping.worms (Amynthus, metaphire, megascolecids)",area.sampled.m2,site.replicates,replicate.size.m2,collection.method,replicate.mindistance.m,site.mindistance,sampling.notes,sample.year,sample.month,latitude,longitude,country,state/province,dist.road,elevation,altitude.m.asl,habitat.type,dom.tree.spp,dom.tree,dom.veg.spp,dom.veg,annual.precip.mm,ph,ph.method,soil.moisture.pct,mean.july.tempc,mean.jan.tempc,mean.study.temp,soil.temp,mean.annu.soil.temp,organic.C.kg,organic.N,soil.organic.matter%,,Endogeic,Epi-endogeic,Epigeic,Endogeic,Endogeic,Anecic,Endogeic,Epigeic,Epigeic,Epigeic,Epigeic,Epigeic,Epigeic,Epigeic,Epi-endogeic,Anecic,Endogeic,Endogeic,Anecic spp.,Endogeic spp.,Epigeic spp.,Epi-endogeic spp.,Unknown,row.totals,Anecic spp.,Endogeic spp.,Epigeic spp.,Epi-endogeic spp.,Anecic spp.,Endogeic spp.,Epigeic spp.,Epi-endogeic spp.,Follow.Fox,Fox.epiendo,Fox.noepiendo,,
9,Ada Lake,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.36963,-88.73013,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple ,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,N,N,N,Y,N
10,Headwaters Wild near,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.88197,-88.95522,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,,
11,Headwaters Wild far,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.88126,-88.95715,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,,
14,Keyes Lake W far,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.95564,-88.60047,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,,
15,Keyes Lake E near,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.95373,-88.60439,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,,
16,Lauterman Lake,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.91646,-88.50505,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,N,N,N,,
17,Lost Lake,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.88377,-88.55656,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,,
18,Perch Lake,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.95383,-88.50845,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,,
19,Pine River,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.88716,-88.68605,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,N,N,N,,
20,Richardson Lake,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.44103,-88.71359,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,,
21,Wabeno,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.43764,-88.50041,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,N,N,N,,
22,Whisker Lake,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.94612,-88.47141,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,,
23,"I, II, III","Eisenhauer et al., 2007",N,7.5,30,0.25,hand/formalin,10,NA,3 transects 20 m apart starting at 25 meters from road going into forest,2004,Aug/Sept,51.033333,-115.066667,Canada,Alberta,25-200,,1410,forest,Populus tremuloides,trembling aspen,,"dense, herbs, roses, grasses",625,5.93,neglects to say-plaigerism!,,,,,,3.8,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,1,1,0,1,1,1,0,Y,Y,Y,,
24,Site 10,"Duffy, 2020",N,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.81491,-75.53369,US,New York,NA,,,forest,,,,,,6.6,,55.67373082,,,,,,,,48.82558721,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,N,N,N,,
25,Site 11,"Duffy, 2020",Y,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.81898,-75.54278,US,New York,NA,,,forest,,,,,,7.8,,41.93866661,,,,,,,,16.70835418,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,,
26,Site 12,"Duffy, 2020",Y,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.81904,-75.54492,US,New York,NA,,,forest,,,,,,7.4,,38.32210086,,,,,,,,13.61386139,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,,
27,Site 13,"Duffy, 2020",N,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.82094,-75.6244,US,New York,NA,,,forest,,,,,,7.1,,38.77998259,,,,,,,,20.85614734,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,5,1,3,0,1,1,3,0,1,N,N,N,,
28,Site 14,"Duffy, 2020",N,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.80427,-75.6257,US,New York,NA,,,forest,,,,,,6.0,,23.28278658,,,,,,,,10.84277969,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,1,1,0,Y,Y,Y,,
29,Site 15,"Duffy, 2020",N,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.81745,-75.50292,US,New York,NA,,,forest,,,,,,5.9,,32.12100612,,,,,,,,14.12880679,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,2,1,0,1,2,1,0,Maybe?,Y,N,,
30,Site 16,"Duffy, 2020",N,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.81595,-75.50883,US,New York,NA,,,forest,,,,,,4.8,,37.15531657,,,,,,,,18.50760923,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,2,0,1,0,2,0,N,N,N,,
31,Site 17,"Duffy, 2020",Y,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.81679,-75.53807,US,New York,NA,,,forest,,,,,,6.2,,28.19525154,,,,,,,,12.14814815,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,Y,Y,Y,,
32,Site 18,"Duffy, 2020",Y,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.81584,-75.53672,US,New York,NA,,,forest,,,,,,5.2,,21.66247547,,,,,,,,10.64467766,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Y,Y,Y,,
33,Site 20,"Duffy, 2020",N,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.80371,-75.62638,US,New York,NA,,,forest,,,,,,5.8,,35.40747999,,,,,,,,17.49750748,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,1,3,0,0,1,3,0,0,N,N,N,,
35,Site 22,"Duffy, 2020",N,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.81731,-75.50443,US,New York,NA,,,forest,,,,,,5.4,,35.54083885,,,,,,,,13.36336336,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,4,1,2,0,1,1,2,0,1,N,N,N,,
36,Site 23,"Duffy, 2020",N,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.81549,-75.51043,US,New York,NA,,,forest,,,,,,5.6,,62.58156266,,,,,,,,54.58601884,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,,
37,APHG,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2013,July,42.9142,-75.83349,US,New York,300,467,,deciduous forest,,,,,,5.37,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,7,1,3,2,1,1,3,2,1,N,N,N,,
38,APHT,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2013,July,42.91141,-75.83684,US,New York,122,470,,deciduous forest,,,,,,4.89,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,4,0,0,3,1,0,0,3,1,N,N,N,,
