my.site.num,study.site,study,"jumping.worms (Amynthus, metaphire, megascolecids)",area.sampled.m2,site.replicates,replicate.size.m2,collection.method,replicate.mindistance.m,site.mindistance,sampling.notes,sample.year,sample.month,latitude,longitude,country,state/province,dist.road,elevation,altitude.m.asl,habitat.type,dom.tree.spp,dom.tree,dom.veg.spp,dom.veg,annual.precip.mm,ph,ph.method,soil.moisture.pct,mean.july.tempc,mean.jan.tempc,mean.study.temp,soil.temp,mean.annu.soil.temp,organic.C.kg,organic.N,soil.organic.matter%,lum.spp.richness,native.spp.richness,jumping.spp.richness,spp.richness,Max.pack.num,Dendrobaena.octaedra,Lumbricus.unknown,Aporrect.unknown,Dendrobaena.unknown,Lumbricus.rubellus,en.Dendrobaena.aplina,a.Lumbricus.terrestris,Octalasion.tyrtaeum,Octalasian.unknown,Aporrectodea.caliginosa,Apporectodea.rosea,Aporrectodea.turgida (APTU),Bimastos.rubidus,Unknown,Lumbricus.castaneus,Dendrodrilus.unknown,Octolasion.cyaneum,Amynthas.agrestis,Eisenia.fetida,Allolobophora.chlorotica,Aporrectodea.longa,endo.unknown,Amynthas.unknown,Eisenoides.lonnbergi,Eisenia.teteadra,Amynthas.tokioensis,epi.unknown,epi/endo.unknown,Dendrodrilus.terrestris,Lumbricus.octaedra,anecic.unknown,row.totals
147,HAM-UF,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.416878,-76.302632,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,11,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
153,YEL-UF,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.458495,-76.341342,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,11,2,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
152,YEL-F,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.458495,-76.341342,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,11,3,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11
140,BOB-F,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.386538,-76.245636,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,10,4,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
141,BOB-UF,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.386538,-76.245636,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,10,5,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
143,CON-F,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.337451,-76.681718,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,10,6,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
146,HAM-F,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.416878,-76.302632,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,10,7,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
41,BGPL,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2014,June,42.910000,-75.88775,US,New York,37.1,417,,deciduous forest,,,,,,6.35,,,,,,,,,,,,,,9,8,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
150,RIN-UF,"Dobson & Blossey, 2015",N,2.5,10,0.25,mustard/formalin,,500 m,"5 forested sites (Boblink Hill, BOB; Connecticut Hill Game management Area, CON; Hammond Hill State Forest, HAM; Ringwood Preserve, RIN; and Yellow Barn State Forest, YEL)",2011-2013,late Aug - September,42.447808,-76.362714,US,New York,,,,forest,,,,,,,,,,,,,,,,,,,,9,9,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
83,KFLD,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2013,June,42.89956,-75.87469,US,New York,260,378,,deciduous forest,,,,,,5.21,,,,,,,,,,,,,,9,10,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
97,SHGU,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2013,June,42.90998,-75.89203,US,New York,230,377,,deciduous forest,,,,,,5.79,,,,,,,,,,,,,,8,11,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
123,AKYD,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,ADK site,2013,July,43.34156,-74.06955,US,New York,,,,yard,,,,,,5.94,,,,,,,,,,,,,,8,12,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8
