my.site.num,max.pack.site,max.pack.spp,func.grp,study.site,study,"jumping.worms (Amynthus, metaphire, megascolecids)",area.sampled.m2,site.replicates,replicate.size.m2,collection.method,replicate.mindistance.m,site.mindistance,sampling.notes,sample.year,sample.month,latitude,longitude,country,state/province,dist.road,elevation,altitude.m.asl,habitat.type,dom.tree.spp,dom.tree,dom.veg.spp,dom.veg,annual.precip.mm,ph,ph.method,soil.moisture.pct,mean.july.tempc,mean.jan.tempc,mean.study.temp,soil.temp,mean.annu.soil.temp,organic.C.kg,organic.N,soil.organic.matter%,,funct.code,func.group,Dendrobaena octaedra,Lumbricus spp.,Aporrectodea spp.,Dendrobaena spp.,Lumbricus rubellus,Lumbricus terrestris,Octolasion tyrtaeum,Octolasion spp.,Aporrectodea caliginosa,Aporrectodea rosea,Bimastos rubidus,Unknown,Aporrectodea turgida,Lumbricus castaneus,Dendrodrilus spp.,Octolasion cyaneum,Amynthas agrestis,Eisenia teteadra,Amynthas spp.,Endogeic spp.,Allolobophora chlorotica,Amynthas tokioensis,Eisenia fetida,Eisenia hortensis,Aporrectodea longa,Eisenia lucens,Aporrectodea octaedra,Bimastos parvus,Epi-endogeic spp.,Epigeic spp.,Anecic spp.,row.totals,row.totalsA
10,1,1,1,Headwaters Wild near,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.88197,-88.95522,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11,2,5,2,Headwaters Wild far,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.88126,-88.95715,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14,3,6,4,Keyes Lake W far,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.95564,-88.60047,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,4,7,3,Keyes Lake E near,"Corio et al., 2009",N,0.3,5,0.06,mustard,NA,1000,20 by 30 cm sampled 1x,2005,Oct,45.95373,-88.60439,US,Wisconsin,100,,,mesic forest,A. saccharum,sugar maple,,,610-1140,,,,20,-11,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
26,5,9,3,Site 12,"Duffy, 2020",Y,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.81904,-75.54492,US,New York,NA,,,forest,,,,,,7.4,,38.32210086,,,,,,,,13.61386139,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
36,6,10,3,Site 23,"Duffy, 2020",N,0.36,1,0.36,mustard,NA,50,,2020,Oct/Nov,42.81549,-75.51043,US,New York,NA,,,forest,,,,,,5.6,,62.58156266,,,,,,,,54.58601884,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
46,7,11,1,CBF-SM-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.78441667,-75.39075,US,New York,840.773,520,,deciduous forest,,,,,,5.93,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
49,8,13,3,CBF-SM-4,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.75565,-75.39803333,US,New York,40,529,,deciduous forest,,,,,,5.68,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,9,14,1,CBP-PP-2,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,June,42.80625,-75.62026667,US,New York,20,466,,plantation,,,,,,6.15,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
68,10,16,3,CPF-OF-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.81278333,-75.56076667,US,New York,348.855,359,,old field,,,,,,6.39,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
120,11,17,1,10LI,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,ADK site,2013,July,43.74097,-74.97375,US,New York,,,,deciduous forest,,,,,,4.71,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
163,12,18,1,1,"Wellnitz et al., 2020",N,0.6,3,0.2,mustard,Hale 2013,island,islands in MN boundary waters,2016,July,47.924167,-91.485,US,Minnesota,NA,,,mixed forest,,"pine, cedar, fir, birch, aspen",,,660-780,,,,20,-11,NA,,,,,5.94,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
